"intent","total_jobs","failed_jobs","non_failed_jobs","status_counts_json"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""CORBIN""
- Sport/Role: ""FOOTBALL — DEFENSIVE LINE""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1748970326187?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""DAMAURI""
- Sport/Role: ""FOOTBALL — DEFENSIVE TACKLE""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1765658873346?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""DASH""
- Sport/Role: ""FOOTBALL — FREE SAFETY""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FO5dLUzTzWbSkzzYLQvYMJR0hvhn1_1745369641280?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""DEVIN""
- Sport/Role: ""FOOTBALL — WIDE RECEIVER""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/o5b3BVHDPoVdwJoTnYm95UvbwdQ2/profile/avatar_1778614888160.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""DJ""
- Sport/Role: ""BASKETBALL MENS — POWER FORWARD""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1769087598972?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""ELIJAH""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2F4c334t39TUaK4bPKLXukN5FdxSb2?alt=media&time=1737387973175
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""EVAN""
- Sport/Role: ""BASEBALL — OUTFIELDER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FCGYcybG6WqRyKb9cYlhezp1227H2?alt=media&time=1738858951633
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""EZEKIEL""
- Sport/Role: ""FOOTBALL — QUARTERBACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/Qdp6iAjgIvW3QWE3w6Ku8Q6bvXt2/profile/avatar_1778962220963.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""HUY""
- Sport/Role: ""FOOTBALL — QUARTERBACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/fvAz9yjmKHQjLqFOvUMRRo5cviA2/profile/avatar_1779345594035.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""HUY""
- Sport/Role: ""FOOTBALL — RUNNING BACK""
- Athlete Photo: blob:capacitor://localhost/70f642ab-80c3-415c-b6e6-f559b65f3fc2
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""IC3D""
- Sport/Role: ""BASKETBALL MENS — SHOOTING GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/dJlIz1oqo2QzwFDE9wzirAiUeFs1/profile/1778991937661_f61b23c2bf6f566b.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""ISAIAH""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1752529105738?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""IZAYAH""
- Sport/Role: ""FOOTBALL — LINEBACKER""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/ESGT0sxbTMUDJRqZtnalG2Au6a93/profile/avatar_1779286646144.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JACOB""
- Sport/Role: ""FOOTBALL — LINEBACKER""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/dzVLci4TJxfwPl6z84ZdribZ1Y22/profile/avatar_1779116532697.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JACOB""
- Sport/Role: ""FOOTBALL — WIDE RECEIVER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FgLiqjnKojKXTA0nkJtZxzXlS27G3_1771624272945?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JADRIAN""
- Sport/Role: ""FOOTBALL — DEFENSIVE LINE""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2Fcr7RBoMvsPSBwhBHXwLlj7c8GhK2?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","1","0","{""failed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JAHDEN""
- Sport/Role: ""FOOTBALL — RUNNING BACK""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FPz3k8zmktDcssmYmNeD2GrhAFXG3?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JALEEL""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/DR83f603pvedpIxCNxA3lVh72kI3/profile/avatar_1779211464722.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JAMAL""
- Sport/Role: ""FOOTBALL — WIDE RECEIVER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2F0pBfsWkZDxbnXDmEVtcBj9eZAmo2_1767830893887?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JAYLIN""
- Sport/Role: ""FOOTBALL""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1764535600530?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JERQALIN""
- Sport/Role: ""FOOTBALL — RUNNING BACK""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1760494010858?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JJ""
- Sport/Role: ""BASEBALL — OUTFIELDER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2Fj5CyRctmHlUBFpO18XIB0CDjU3q2?alt=media&time=1730934463108
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JOHN""
- Sport/Role: ""FOOTBALL — QUARTERBACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/7bY7Eu1cBPh2wLuGKqz9OkkIBZR2/profile/avatar_1779120823023.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""JOHNNIE""
- Sport/Role: ""FOOTBALL""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2Fkj4ldoWddzeLvIgFXlMB65RkhNU2?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KADE""
- Sport/Role: ""BASKETBALL — SHOOTING GUARD""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1772748690692?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KAHARRI""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/D25malikNYd3fjDs87JEEh8kGlo1/profile/avatar_1779305373863.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KAHARRI""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/GudqRoM0TmPmAfB1c0BsorONWYW2/profile/avatar_1779304419264.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KAHARRI""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/T4jXcSaKvmY4kOUrP0ktJ6BDoeI3/profile/avatar_1779306449912.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KAHARRI""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/ZPDuULf4b7WvR1fEtpKDyGl10cL2/profile/avatar_1779303156695.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KAIDEN""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/sHFwMb72EfX9vOXHiy0rWEKXpW73/profile/avatar_1779205240061.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KEWON""
- Sport/Role: ""FOOTBALL — CORNERBACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/vhdrDefnmkaKxEujvkZCWdoUSA53/profile/avatar_1779486534033.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KOLBY""
- Sport/Role: ""FOOTBALL — RUNNING BACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/OzmiI4chTyce8rfE2DJoC6hvux92/profile/avatar_1779686431739.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KYLE""
- Sport/Role: ""FOOTBALL — CENTER""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/LOJRnW0omfRafayS03zZltv6Tt22/profile/avatar_1778950823905.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""KYLER""
- Sport/Role: ""SWIMMING & DIVING — SWIMMER""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/fCkyxvuplfVDnIu6JlQWANSkQfE3/profile/avatar_1779766051691.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""LAMAR""
- Sport/Role: ""FOOTBALL — RUNNING BACK""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FJRyH7xe35hhftEikPyAERy2wIOp2_1743861374839?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""LOGAN""
- Sport/Role: ""FOOTBALL — QUARTERBACK""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FkQKSDptl6Nfv9KUrSpVKKeRikdS2_1750610332678?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""LUIZ""
- Sport/Role: ""FOOTBALL — DEFENSIVE END""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1750288323846?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""LUKE""
- Sport/Role: ""FOOTBALL — OUTSIDE LINEBACKER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1771413499360?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""MALACHI""
- Sport/Role: ""FOOTBALL — WIDE RECEIVER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1771025226948?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""MARIA""
- Sport/Role: ""FOOTBALL — QUARTERBACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/WnWTXsvCxSXUYBgLoJy2sIUr3Vc2/profile/avatar_1779150982877.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""MASON""
- Sport/Role: ""BASEBALL — OUTFIELDER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1763946821997?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""NICHOLAS""
- Sport/Role: ""BASEBALL — OUTFIELDER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/Users%2FZFNAWNp37Pd3CXmDDFqBaYOgs8Q2?alt=media&time=1730942475310
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""NIJAUN""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/Ouzc4U5IuqhhhigDGg0iAfomA9j2/profile/avatar_1779224012662.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""NIJAUN""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/QvYJLyXZmXXaHuApLfIOvl5jGM13/profile/avatar_1779218871046.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""NIJAUN""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/i1b7oQmWmKdTXNDGY6WDGlMpvmT2/profile/avatar_1779222917432.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""NIJAUN""
- Sport/Role: ""BASKETBALL MENS — POINT GUARD""
- Athlete Photo: https://storage.googleapis.com/nxt-1-staging-v2.firebasestorage.app/Users/wihwKieaoXO15sHg4kFxyQuGS8l2/profile/avatar_1779216805592.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""NOAH""
- Sport/Role: ""FOOTBALL — RUNNING BACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/VBsptUMwFYcjzBsRybK3ert8dRL2/profile/avatar_1779557778451.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""PEYTON""
- Sport/Role: ""FOOTBALL — QUARTERBACK""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/cm0R0rn1RMatZvhufEnXrCvlZFQ2/profile/avatar_1779123183435.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""RANDY""
- Sport/Role: ""BASKETBALL MENS — SMALL FORWARD""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1751553169041?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""RICKY""
- Sport/Role: ""BASEBALL — INFIELDER""
- Athlete Photo: https://firebasestorage.googleapis.com/v0/b/nxt-1-staging-v2.firebasestorage.app/o/HighLightImages%2Fimage_1766112882319?alt=media
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
"Create a welcome graphic for a new athlete joining the platform.

## Content
- Headline: ""WELCOME""
- Athlete Name: ""SAROD""
- Sport/Role: ""FOOTBALL — ATHLETE""
- Athlete Photo: https://storage.googleapis.com/nxt-1-v2.firebasestorage.app/Users/ieqrGog93bbQnPY9NYOuzW3hsx53/profile/avatar_1778965178498.jpg
- Brand Colors: Derive the color palette from the athlete photo provided above.

## Rules
- Do NOT draw, generate, or invent any logos, watermarks, or corner branding.
- Be as creative as you want with the design, style, and composition.","1","0","1","{""completed"":1}"
